"COL0","COL1"
"4420005.00",1075.00
"4420006.00",1165.00
"4420007.00",1265.00
"4420008.00",1200.00
"4420009.00",1075.00
"4420010.00",1815.00
"4420011.00",1200.00
"4420012.01",1460.00
"4420012.02",2190.00
"4420013.01",3035.00
"4420013.02",1705.00
"4420013.03",1400.00
"4420100.01",3565.00
"4420100.02",1940.00
"4420101.02",3120.00
"4420101.03",1790.00
"4420101.04",1760.00
"4420102.00",3515.00
"4420200.00",2695.00
"4420201.00",1445.00
"4420202.00",1215.00
"4420203.00",1410.00
"4420204.00",2270.00
"4420205.01",2730.00
"4420205.02",2260.00
"4420205.03",1805.00
"4420210.00",3065.00
"4420211.00",3110.00
"4420212.00",1305.00
"4420213.00",810.00
"4420300.01",
"4420300.02",3330.00
"4420301.00",
"4420302.00",2335.00
"4420303.00",250.00
"4420304.00",1190.00
"4470000.00",42270.00
"4470001.01",2100.00
"4470001.02",1695.00
"4470002.00",1885.00
"4470003.00",3455.00
"4470004.00",1715.00
"4470005.00",2670.00
"4470006.00",2495.00
"4470007.00",2440.00
"4470008.00",3520.00
"4470009.00",4040.00
"4470010.00",3060.00
"4470011.00",1805.00
"4470012.00",725.00
"4470013.00",505.00
"4470014.00",2360.00
"4470015.00",2290.00
"4470100.00",300.00
"4470101.00",1935.00
"4470102.00",1000.00
"4470103.00",655.00
"4470104.00",405.00
"4470105.00",290.00
"4470106.00",585.00
"4470107.00",355.00
"4500000.00",37775.00
"4500001.00",2980.00
"4500002.00",3120.00
"4500003.00",
"4500004.00",2805.00
"4500005.00",2410.00
"4500006.00",1545.00
"4500007.00",1495.00
"4500008.00",1010.00
"4500009.00",2025.00
"4500010.00",2315.00
"4500011.00",2290.00
"4500012.00",1870.00
"4500013.00",1520.00
"4500014.00",980.00
"4500015.00",1730.00
"4500016.00",1850.00
"4500100.00",3955.00
"4500200.00",1140.00
"4500201.00",1150.00
"4500202.00",1575.00
"4620000.00",1727310.00
"4620001.00",1325.00
"4620002.00",1760.00
"4620003.00",2940.00
"4620004.00",1600.00
"4620005.00",1590.00
"4620006.00",1990.00
"4620007.00",2805.00
"4620008.00",1465.00
"4620009.00",1640.00
"4620010.00",700.00
"4620011.00",2825.00
"4620012.01",1315.00
"4620012.02",2020.00
"4620013.00",2705.00
"4620014.01",4090.00
"4620014.02",
"4620015.00",2210.00
"4620016.00",1175.00
"4620017.00",1190.00
"4620018.00",1140.00
"4620019.00",1295.00
"4620021.00",1430.00
"4620022.00",800.00
"4620023.00",685.00
"4620024.00",1445.00
"4620025.00",1510.00
"4620026.00",1500.00
"4620027.00",920.00
"4620028.00",1150.00
"4620029.00",2000.00
"4620030.00",1800.00
"4620031.00",1515.00
"4620032.00",965.00
"4620033.00",965.00
"4620034.00",1355.00
"4620035.00",1125.00
"4620036.00",1195.00
"4620037.00",2115.00
"4620038.00",980.00
"4620039.00",1185.00
"4620040.00",
"4620041.00",990.00
"4620042.00",605.00
"4620043.00",560.00
"4620044.00",1190.00
"4620045.00",900.00
"4620046.00",1200.00
"4620047.00",385.00
"4620048.00",1220.00
"4620049.00",815.00
"4620050.00",695.00
"4620051.00",825.00
"4620052.00",1105.00
